,1_star_ratings,2_star_ratings,3_star_ratings,4_star_ratings,5_star_ratings,total_ratings,avg_ratings
watch dogs - playstation 4,13,14,29,43,103,202,4.034653465346534
yoshi amiibo (super smash bros series),2,3,2,11,183,201,4.840796019900497
alan wake - xbox 360,8,10,36,58,88,200,4.04
uncharted 2: among thieves - playstation 3,3,2,10,17,166,198,4.722222222222222
final fantasy x,11,11,16,42,118,198,4.237373737373737
titanfall - xbox one,24,13,22,35,103,197,3.9137055837563453
far cry 4 - playstation 4,7,11,17,33,128,196,4.346938775510204
borderlands - xbox 360,4,4,20,52,113,193,4.3782383419689115
halo - xbox,7,0,8,33,145,193,4.601036269430052
until dawn - playstation 4,10,5,12,26,140,193,4.455958549222798
call of duty: modern warfare 3 - xbox 360,14,22,29,42,80,187,3.8128342245989306
gears of war 3,0,3,14,40,128,185,4.583783783783784
the witcher 3: wild hunt - playstation 4,11,6,13,27,128,185,4.378378378378378
wii fit game with balance board,2,4,2,50,126,184,4.5978260869565215
fallout 4 - playstation 4,10,10,11,37,116,184,4.298913043478261
xbox 360 wireless controller - glossy black,3,2,7,21,147,180,4.705555555555556
middle earth: shadow of mordor - playstation 4,9,10,17,32,111,179,4.262569832402234
super mario 3d world - nintendo wii u,6,1,6,13,152,178,4.707865168539326
halo 3 - xbox 360,6,8,22,44,97,177,4.231638418079096
super smash bros. - nintendo wii u,8,3,13,14,139,177,4.5423728813559325
new super mario bros. wii,4,4,12,33,124,177,4.519774011299435
grand theft auto iv - playstation 3,9,5,17,46,97,174,4.247126436781609
halo: the master chief collection,27,13,16,23,95,174,3.839080459770115
assassin's creed iv black flag - playstation 4,3,8,5,34,124,174,4.540229885057471
tomb raider: definitive edition - playstation 4,3,6,8,23,133,173,4.601156069364162
xbox one wireless controller (without 3.5 millimeter headset jack),12,4,8,21,128,173,4.4393063583815024
super smash bros. brawl,4,2,13,22,132,173,4.595375722543353
grand theft auto vice city,3,4,5,33,128,173,4.61271676300578
bioshock 2 - xbox 360,6,4,28,36,98,172,4.255813953488372
playstation eye,2,8,12,24,126,172,4.534883720930233
xbox 360 live 1600 points,2,0,8,11,150,171,4.795321637426901
tomb raider,1,5,6,31,128,171,4.637426900584796
horizon zero dawn - playstation 4,5,4,6,16,137,168,4.642857142857143
resident evil 6 - playstation 3,16,13,20,29,89,167,3.970059880239521
infamous: second son standard edition (playstation 4),8,4,15,37,102,166,4.331325301204819
playstation 4 camera (old model),4,3,19,34,106,166,4.4156626506024095
halo reach,6,5,15,28,109,163,4.404907975460123
assassin's creed iv black flag - playstation 3,4,5,4,30,119,162,4.574074074074074
metal gear solid v: the phantom pain - playstation 4,11,6,13,32,99,161,4.254658385093168
super smash bros. - nintendo 3ds,3,1,5,26,125,160,4.68125
final fantasy vii,3,1,5,28,123,160,4.66875
grand theft auto iv,4,16,21,30,88,159,4.144654088050315
mass effect - xbox 360,2,6,20,25,106,159,4.427672955974843
call of duty: ghosts - playstation 4,19,14,23,30,72,158,3.7721518987341773
killzone 2 - playstation 3,3,7,24,38,85,157,4.24203821656051
gears of war - xbox 360,4,4,16,32,100,156,4.410256410256411
call of duty 4: modern warfare - game of the year edition,6,2,14,20,114,156,4.5
halo 2 - xbox,3,6,13,40,93,155,4.380645161290323
nintendo ds lite polar white,4,2,8,16,121,151,4.642384105960265
the order: 1886 - playstation 4,10,11,28,38,63,150,3.8866666666666667
new super mario bros,1,0,10,21,118,150,4.7
mario kart 7,2,1,3,26,118,150,4.713333333333333
star wars: battlefront - standard edition - playstation 4,42,20,30,18,39,149,2.946308724832215
mass effect - pc,30,16,13,26,63,148,3.5135135135135136
bioshock - xbox 360,7,2,6,22,109,146,4.534246575342466
call of duty: black ops iii - standard edition - playstation 4,22,12,25,26,61,146,3.6301369863013697
call of duty 4: modern warfare - game of the year edition,6,2,10,24,104,146,4.493150684931507
super mario galaxy,4,5,2,13,121,145,4.6689655172413795
kingdom hearts,7,3,3,29,102,144,4.5
grand theft auto iii,1,5,8,18,112,144,4.631944444444445
beyond: two souls,4,11,16,28,84,143,4.2377622377622375
xbox one play and charge kit,9,2,5,13,114,143,4.545454545454546
ninja gaiden ii,4,2,14,42,80,142,4.352112676056338
far cry 3,6,2,16,29,89,142,4.359154929577465
far cry 2 - pc,47,20,12,24,39,142,2.915492957746479
demon's souls,10,5,17,26,82,140,4.178571428571429
no man's sky - playstation 4,36,20,23,19,42,140,3.0785714285714287
nintendo wii u pro controller - black,4,2,9,13,111,139,4.618705035971223
red dead redemption - playstation 3,6,0,8,31,93,138,4.4855072463768115
nintendo wii remote plus - white,0,0,3,13,122,138,4.86231884057971
the legend of zelda: a link between worlds 3d,3,0,5,16,114,138,4.72463768115942
heavy rain - greatest hits,3,4,9,39,82,137,4.408759124087592
max payne 3 - playstation 3,6,11,13,30,77,137,4.175182481751825
uncharted: the nathan drake collection - playstation 4,8,1,4,15,109,137,4.576642335766423
final fantasy ix,3,1,10,22,100,136,4.580882352941177
street fighter iv - playstation 3,8,6,14,30,78,136,4.205882352941177
tom clancy's the division - playstation 4,11,10,20,34,61,136,3.911764705882353
red dead redemption,6,4,8,29,88,135,4.4
crisis core: final fantasy vii - sony psp,0,8,4,37,84,133,4.481203007518797
knack (playstation 4),5,5,24,46,53,133,4.030075187969925
god of war - playstation 2,2,1,6,27,93,129,4.612403100775194
assassin's creed iv black flag - xbox 360,2,1,5,28,93,129,4.62015503875969
playstation 4 500gb console [old model][discontinued],7,4,9,22,87,129,4.37984496124031
xbox one + kinect,19,7,14,25,64,129,3.8372093023255816
god of war: collection - playstation 3,0,1,9,12,107,129,4.744186046511628
assassin's creed: syndicate - standard edition - playstation 4,7,6,11,28,76,128,4.25
playstation 2 console slim ps2,8,0,4,10,106,128,4.609375
assassin's creed ii - greatest hits edition - playstation 3,1,6,8,28,85,128,4.484375
ratchet & clank - playstation 4,1,1,6,17,102,127,4.716535433070866
animal crossing: new leaf,4,1,11,18,93,127,4.535433070866142
the world ends with you,8,8,8,10,93,127,4.354330708661418
batman: arkham origins - playstation 3,4,3,20,33,66,126,4.222222222222222
super smash bros melee,1,0,0,18,107,126,4.825396825396825
final fantasy viii,1,6,17,22,80,126,4.380952380952381
the legend of zelda: the wind waker,7,1,9,18,90,125,4.464
halo: combat evolved anniversary,2,2,11,29,81,125,4.48
infamous: second son limited edition (playstation 4),4,5,10,25,81,125,4.392
donkey kong country returns,4,2,9,22,87,124,4.5
grand theft auto: san andreas - playstation 2,4,1,7,19,93,124,4.580645161290323
the evil within - playstation 4,11,10,13,25,65,124,3.9919354838709675
sony playstation 3 160gb system,7,2,3,21,91,124,4.508064516129032
dualshock 4 wireless controller for playstation 4 - jet black [old model],5,1,4,7,106,123,4.691056910569106
powera dualshock 4 charging station for playstation 4,3,3,2,24,91,123,4.6016260162601625
grand theft auto v - playstation 4,4,1,7,15,95,122,4.60655737704918
dante's inferno divine edition - playstation 3,4,3,25,29,61,122,4.147540983606557
battlefield: bad company - playstation 3,2,2,16,34,68,122,4.344262295081967
uncharted: golden abyss - playstation vita,1,3,5,26,86,121,4.595041322314049
doom - playstation 4,6,2,13,13,86,120,4.425
resistance: fall of man - playstation 3,6,1,13,22,78,120,4.375
final fantasy xii,4,4,16,29,67,120,4.258333333333334
playstation 2 dualshock controller black,6,4,7,17,86,120,4.441666666666666
soul calibur iv - playstation 3,2,2,16,44,55,119,4.243697478991597
saints row 2 - xbox 360,2,0,10,34,73,119,4.4789915966386555
nintendo game boy advance sp - platinum,3,0,8,18,90,119,4.61344537815126
luigi's mansion: dark moon,2,1,4,19,93,119,4.680672268907563
call of duty: black ops ii - xbox 360,12,9,12,25,61,119,3.957983193277311
battlefield: bad company,3,4,8,38,65,118,4.338983050847458
"grip-it analog stick covers, set of 4",6,10,9,13,80,118,4.279661016949152
playstation 3 40gb system,2,0,2,20,94,118,4.728813559322034
playstation 2 console - black,11,3,6,23,74,117,4.247863247863248
fallout 4 - xbox one,8,3,11,16,79,117,4.3247863247863245
playstation 2 memory card (8mb),1,1,6,15,94,117,4.7094017094017095
pokemon x,3,2,6,10,95,116,4.655172413793103
super mario galaxy 2,3,1,4,9,99,116,4.724137931034483
playstation plus: 3 month membership [digital code],1,0,8,10,97,116,4.741379310344827
mortal kombat: komplete edition - playstation 3,0,3,3,17,92,115,4.721739130434782
metal gear solid v: ground zeroes - playstation 4 standard edition,12,2,11,22,67,114,4.140350877192983
super mario sunshine,1,3,18,37,54,113,4.238938053097345
mortal kombat vs. dc universe - xbox 360,6,4,14,18,70,112,4.267857142857143
32gb playstation vita memory card,15,4,13,19,61,112,3.955357142857143
perfect shot for wii (colors may vary),6,6,14,28,58,112,4.125
silent hill: homecoming - playstation 3,10,4,14,28,56,112,4.035714285714286
bioshock infinite - xbox 360,3,4,16,17,72,112,4.348214285714286
resident evil 7: biohazard - ps4 digital code,4,4,7,22,74,111,4.423423423423423
minecraft,3,2,2,10,94,111,4.711711711711712
diablo iii: ultimate evil edition,4,4,5,16,82,111,4.513513513513513
call of duty: world at war platinum hits - xbox 360,5,3,13,29,61,111,4.243243243243243
nintendo wii u console - 32gb black deluxe set,10,4,10,19,67,110,4.172727272727273
fallout 3,3,3,7,28,69,110,4.427272727272728
splatoon,8,2,4,10,85,109,4.486238532110092
resident evil 4,2,3,2,16,86,109,4.660550458715596
wii nunchuk controller - white,3,0,3,20,82,108,4.648148148148148
call of duty: ghosts - xbox one,18,3,20,20,47,108,3.6944444444444446
batman: arkham asylum - playstation 3,3,0,6,21,78,108,4.583333333333333
dishonored,0,8,11,25,63,107,4.336448598130841
rise of the tomb raider - xbox one,4,1,7,11,84,107,4.588785046728972
the legend of zelda: majora's mask 3d,2,1,2,8,94,107,4.785046728971962
fire emblem: awakening,1,1,8,5,92,107,4.738317757009346
shadow of the colossus - playstation 2,1,8,12,19,67,107,4.336448598130841
resistance 3 - playstation 3,5,3,12,28,58,106,4.235849056603773
super mario maker - nintendo wii u,5,0,5,8,88,106,4.6415094339622645
pokemon y,1,0,5,10,90,106,4.773584905660377
dying light - playstation 4,5,9,14,17,61,106,4.132075471698113
mass effect andromeda - pre-load - ps4 digital code,22,16,24,16,28,106,3.1132075471698113
batman: arkham city for playstation 3,2,1,4,13,86,106,4.69811320754717
dead rising 3,6,3,5,25,67,106,4.3584905660377355
assassin's creed ii: platinum hits edition,2,0,11,20,73,106,4.528301886792453
metroid prime,3,5,8,15,75,106,4.452830188679245
left 4 dead 2 - xbox 360,3,6,11,20,65,105,4.314285714285714
donkey kong country tropical freeze - nintendo wii u,6,1,2,18,78,105,4.533333333333333
xbox live 12 month gold membership card,2,0,4,6,93,105,4.79047619047619
16gb playstation vita memory card,3,3,17,18,64,105,4.304761904761905
hyrule warriors - nintendo wii u,4,1,5,13,81,104,4.596153846153846
official wii zapper with link's crossbow training,6,8,20,26,44,104,3.9038461538461537
resident evil 4 - playstation 2,5,3,5,9,82,104,4.538461538461538
mad max - playstation 4,4,2,12,23,62,103,4.330097087378641
dragon age inquisition - standard edition - playstation 4,4,4,16,23,56,103,4.194174757281553
xbox one 500gb console - assassin's creed unity bundle,11,3,6,15,68,103,4.223300970873787
nintendo 3ds compatible with 3ds / 3ds xl / 2ds ac adapter,5,0,2,10,86,103,4.669902912621359
luigi's mansion - gamecube,6,4,17,31,45,103,4.019417475728155
battlefield 4 - playstation 4,5,3,12,17,65,102,4.313725490196078
lost odyssey - xbox 360,2,4,18,36,42,102,4.098039215686274
rise of the tomb raider: 20 year celebration - playstation 4,6,2,3,14,77,102,4.509803921568627
metroid: other m,6,8,19,19,50,102,3.9705882352941178
the legend of zelda: twilight princess hd - wii u,1,0,3,11,87,102,4.794117647058823
doom 3,6,3,19,36,37,101,3.9405940594059405
kingdom hearts ii - playstation 2,0,3,5,17,76,101,4.643564356435643
mortal kombat x: greatest hits - playstation 4,4,5,12,19,61,101,4.267326732673268
xbox one stereo headset adapter,5,0,6,20,69,100,4.48
call of duty: black ops iii - standard edition - xbox one,17,8,11,22,42,100,3.64
mario kart ds,0,2,4,17,77,100,4.69
resident evil 6,13,14,20,18,34,99,3.4646464646464645
fable ii,6,5,19,33,36,99,3.888888888888889
max payne 3 - xbox 360,4,7,8,24,56,99,4.222222222222222
call of duty: advanced warfare - xbox one,10,6,12,16,55,99,4.01010101010101
star wars knights of the old republic - xbox,3,3,6,18,68,98,4.479591836734694
wii play,0,2,14,26,56,98,4.387755102040816
grand theft auto v - xbox 360,3,4,4,8,79,98,4.591836734693878
ratchet and clank future: tools of destruction - playstation 3,0,2,2,17,77,98,4.724489795918367
paper mario: sticker star,4,5,11,22,55,97,4.22680412371134
need for speed hot pursuit - playstation 3,7,1,17,15,57,97,4.175257731958763
wii remote controller,1,0,8,16,72,97,4.628865979381444
just cause 2 - playstation 3,0,0,10,24,63,97,4.546391752577319
super mario 64 ds,5,4,6,20,61,96,4.333333333333333
just cause 2 - xbox 360,6,2,4,26,58,96,4.333333333333333
metal gear solid 2: sons of liberty,2,6,10,22,56,96,4.291666666666667
quantum break - xbox one,8,8,16,13,50,95,3.9368421052631577
heavenly sword - playstation 3,2,8,13,28,44,95,4.094736842105263
ryse: son of rome xbox one,3,4,22,20,46,95,4.073684210526316
sega dreamcast console,1,2,2,14,76,95,4.705263157894737
rare replay - xbox one,5,3,6,15,65,94,4.404255319148936
õkami,2,2,6,14,70,94,4.574468085106383
dead space 2,0,1,6,20,66,93,4.623655913978495
alien: isolation - playstation 4,3,8,5,17,60,93,4.32258064516129
bowser amiibo (super mario bros series),3,0,2,9,79,93,4.731182795698925
shin megami tensei: persona 3 fes - playstation 2,4,2,4,18,65,93,4.483870967741935
need for speed: rivals,6,3,17,21,46,93,4.053763440860215
bioshock infinite - ps3 [digital code],1,2,10,13,67,93,4.537634408602151
watch dogs xbox one,1,7,16,22,47,93,4.150537634408602
playstation tv,6,4,16,25,41,92,3.989130434782609
pokemon alpha sapphire - nintendo 3ds,2,0,4,10,76,92,4.717391304347826
battlefield 4 - playstation 3,8,7,10,17,50,92,4.021739130434782
tom clancy's splinter cell conviction,5,2,11,29,45,92,4.163043478260869
logitech playstation 3 driving force gt racing wheel,4,2,6,38,42,92,4.217391304347826
far cry primal - playstation 4 standard edition,7,6,18,22,39,92,3.869565217391304
call of duty 4: modern warfare - xbox 360,2,1,6,14,69,92,4.5978260869565215
tom clancy's rainbow six vegas 2 - xbox 360,0,4,8,30,50,92,4.369565217391305
pokémon omega ruby - nintendo 3ds,2,0,3,6,81,92,4.782608695652174
fable - best of platinum - xbox (platinum),2,1,11,28,50,92,4.336956521739131
resident evil 4 - gamecube,0,0,3,10,78,91,4.824175824175824
dead space 3 limited edition,4,5,15,18,49,91,4.131868131868132
nier: automata - playstation 4,5,5,4,12,65,91,4.395604395604396
nintendo nunchuk controller - white,1,0,2,8,79,90,4.822222222222222
no more heroes,0,0,14,26,50,90,4.4
street fighter v - playstation 4 standard edition,34,11,10,8,27,90,2.811111111111111
battlefield 4 - xbox 360,13,10,13,17,37,90,3.611111111111111
mafia ii,0,8,20,32,30,90,3.933333333333333
titanfall 2 - playstation 4,3,3,6,11,66,89,4.50561797752809
playstation 3 60gb system,3,3,10,13,60,89,4.393258426966292
the legend of zelda: ocarina of time,1,2,1,6,79,89,4.797752808988764
dead rising - xbox 360,3,8,14,36,28,89,3.8764044943820224
ghostbusters: the video game - playstation 3,2,0,12,24,50,88,4.363636363636363
ps2 controller extension cable - 6 foot (bulk packaging),2,4,0,10,72,88,4.659090909090909
hori screen protective filter for nintendo new 3ds xl,6,2,1,9,70,88,4.534090909090909
grand theft auto v - xbox one,9,0,4,12,62,87,4.35632183908046
official nintendo wii wheel wii remote controller not included,0,0,6,12,69,87,4.724137931034483
battlefield 4 - xbox one,8,8,14,20,37,87,3.8045977011494254
thief - playstation 4,5,9,13,21,39,87,3.9195402298850577
bioshock - playstation 3,1,2,7,17,60,87,4.528735632183908
pokémon sun - nintendo 3ds,1,4,3,11,67,86,4.616279069767442
l. a. noire,2,5,13,30,36,86,4.0813953488372094
resident evil - gamecube,0,2,6,14,64,86,4.627906976744186
wii play with wii remote,6,7,16,35,22,86,3.697674418604651
star fox zero + star fox guard - nintendo wii u,7,6,15,16,42,86,3.9302325581395348
pokémon moon - nintendo 3ds,0,3,3,12,68,86,4.686046511627907
fear 2: project origin - pc,14,4,12,25,31,86,3.63953488372093
assassin's creed rogue- playstation 3,2,1,3,16,64,86,4.616279069767442
silent hill: homecoming - xbox 360,10,8,12,19,36,85,3.7411764705882353
dead space 2,1,0,4,22,58,85,4.6
wireless stereo headset - playstation 3,1,1,8,13,62,85,4.576470588235294
gears of war 4 - xbox one,6,5,14,13,47,85,4.0588235294117645
middle earth: shadow of mordor - xbox one,5,4,5,19,52,85,4.2823529411764705
star wars the force unleashed - xbox 360,3,7,12,34,29,85,3.929411764705882
sony playstation 3 blu-ray disc remote,3,7,8,26,41,85,4.117647058823529
official nintendo white classic gamecube controller,2,2,0,2,78,84,4.809523809523809
halo 5: guardians,16,4,14,12,38,84,3.619047619047619
"amazonbasics carrying case for nintendo - new 3ds xl, 3ds xl - red (officially licensed by nintendo)",0,1,3,14,66,84,4.726190476190476
gears of war: ultimate edition - xbox one,9,3,3,14,55,84,4.226190476190476
hitman absolution (digital code) - ps3 [digital code],2,5,5,20,51,83,4.36144578313253
sonic unleashed,2,6,10,24,40,82,4.146341463414634
animal crossing,2,3,8,17,52,82,4.390243902439025
destiny - standard edition - xbox one,12,8,15,12,35,82,3.6097560975609757
chrono trigger,1,2,2,7,70,82,4.7439024390243905
alpha protocol - playstation 3,9,8,4,30,31,82,3.8048780487804876
gamecube (jet black),2,5,6,16,53,82,4.378048780487805
call of duty: world at war greatest hits - playstation 3,0,3,6,17,55,81,4.530864197530864
super mario 64,1,2,2,9,67,81,4.716049382716049
max payne 3 - pc,10,10,14,14,33,81,3.617283950617284
god of war 3 remastered - playstation 4,5,1,5,13,56,80,4.425
sonic ultimate genesis collection - playstation 3,1,1,5,21,52,80,4.525
tom clancy's the division - xbox one,14,7,10,19,30,80,3.55
fallout 3: game of the year edition,2,1,1,10,66,80,4.7125
dead island - xbox 360,7,7,15,24,27,80,3.7125
ratchet & clank future: a crack in time - playstation 3,0,1,9,16,54,80,4.5375
minecraft - playstation 3,2,1,6,13,58,80,4.55
the elder scrolls v: skyrim special edition - ps4 [digital code],5,2,5,12,56,80,4.4
littlebigplanet - playstation 3,3,1,7,10,58,79,4.506329113924051
just cause 3 - playstation 4,8,7,10,12,42,79,3.9240506329113924
mario kart: double dash,1,3,3,15,57,79,4.569620253164557
left 4 dead - xbox 360,4,4,15,16,40,79,4.063291139240507
nintendo 3ds game card case 24 - black,0,1,0,9,69,79,4.848101265822785
sunset overdrive,4,7,4,9,55,79,4.3164556962025316
heavy rain: director's cut ps3,5,4,8,9,53,79,4.2784810126582276
playstation vita - wifi,6,2,2,16,53,79,4.367088607594937
batman: arkham origins - xbox 360,3,5,11,20,40,79,4.1265822784810124
driveclub (playstation 4),11,11,11,12,34,79,3.5949367088607596
pure - xbox 360,2,0,16,38,23,79,4.012658227848101
lego indiana jones: the original adventures - nintendo wii,2,2,0,22,52,78,4.538461538461538
the legend of zelda: twilight princess,3,2,6,12,55,78,4.461538461538462
dragon age 2 - xbox 360,6,10,19,17,26,78,3.6025641025641026
uncharted 3: drake's deception game of the year digital edition - ps3 [digital code],3,3,2,18,52,78,4.448717948717949
crysis 2,3,3,13,17,42,78,4.17948717948718
sid meier's civilization revolution - playstation 3,4,10,14,24,26,78,3.7435897435897436
assassin's creed: revelations,1,2,10,16,48,77,4.402597402597403
the legend of zelda: breath of the wild - wii u,3,2,6,2,64,77,4.584415584415584
enslaved: odyssey to the west - playstation 3,1,2,9,30,35,77,4.246753246753247
microsoft xbox wireless adapter for windows 10,2,0,2,7,66,77,4.753246753246753
brutal legend,0,2,20,28,27,77,4.038961038961039
lego indiana jones: the original adventures,0,6,11,18,41,76,4.2368421052631575
star wars: the force unleashed - nintendo wii,2,6,13,26,29,76,3.973684210526316
chrono cross - playstation,0,5,5,18,48,76,4.434210526315789
far cry 4 - xbox one,1,4,9,19,43,76,4.302631578947368
watch dogs 2 - playstation 4,3,2,9,20,42,76,4.2631578947368425
bravely default - nintendo 3ds,2,8,3,14,49,76,4.315789473684211
lego marvel super heroes - playstation 4,1,2,4,15,54,76,4.565789473684211
the legend of zelda: skyward sword with music cd,8,3,7,19,39,76,4.026315789473684
ratchet and clank: into the nexus - ps3,2,1,5,22,46,76,4.434210526315789
ghostbusters: the video game - xbox 360,0,10,9,36,20,75,3.88
tomb raider underworld,4,10,14,16,31,75,3.8
devil may cry,3,2,5,15,50,75,4.426666666666667
gran turismo 6,5,4,11,12,43,75,4.12
playstation vita protective film - two pack,2,1,5,9,58,75,4.6
nintendo wii u deluxe set: super mario bros u & luigi u (32 gb),5,0,5,3,62,75,4.56
nintendo ds bundle with metroid prime hunters demo,4,0,1,15,55,75,4.56
metal gear solid: the legacy collection,0,0,3,5,67,75,4.8533333333333335
medal of honor - xbox 360,6,6,18,18,27,75,3.72
resident evil zero - gamecube,1,1,5,25,43,75,4.44
battlefield 3 [download],16,9,10,19,20,74,3.2432432432432434
call of duty: infinite warfare - legacy edition - ps4 [digital code],20,7,6,7,34,74,3.3783783783783785
resident evil: operation raccoon city - playstation 3,4,7,12,12,39,74,4.013513513513513
dragon age: origins - xbox 360,3,5,10,19,37,74,4.108108108108108
the saboteur - xbox 360,3,6,12,22,31,74,3.972972972972973
house of the dead 2 & 3 return,8,0,12,18,36,74,4.0
soul calibur iv - xbox 360,0,0,6,26,42,74,4.486486486486487
ps3 gran turismo 5 xl edition,4,1,8,16,45,74,4.3108108108108105
ryse: son of rome day one edition - xbox one,7,5,10,19,33,74,3.891891891891892
command & conquer: red alert 3 - pc,34,8,12,2,18,74,2.4864864864864864
playstation portable (psp) value pack,5,6,7,12,44,74,4.135135135135135
half-life 2 - pc,11,3,9,11,39,73,3.8767123287671232
batman: arkham knight - xbox one,3,3,10,17,40,73,4.205479452054795
dark souls - xbox 360,4,4,6,15,44,73,4.2465753424657535
mafia iii - playstation 4,7,9,15,13,29,73,3.6575342465753424
motorstorm: pacific rift - playstation 3,3,0,10,8,52,73,4.4520547945205475
far cry - pc,4,8,7,13,41,73,4.082191780821918
medal of honor: warfighter - ps3,1,3,5,10,54,73,4.5479452054794525
bioshock 2 - playstation 3,1,1,6,23,41,72,4.416666666666667
call of duty 4: modern warfare - playstation 3,0,0,6,16,50,72,4.611111111111111
god of war 4 - ps4 [digital code],2,3,6,4,57,72,4.541666666666667
crysis 2 - playstation 3,2,0,9,13,48,72,4.458333333333333
super mario world,2,2,2,3,63,72,4.708333333333333
tomb raider: definitive edition - xbox one,1,1,4,10,56,72,4.652777777777778
xbox 360 pro console 20gb [old version],14,3,10,16,29,72,3.5972222222222223
halo wars - xbox 360,2,4,8,28,30,72,4.111111111111111
two worlds 2 - xbox 360,11,7,14,24,15,71,3.352112676056338
god of war 2 - playstation 2,1,1,2,12,55,71,4.676056338028169
final fantasy x-2,6,9,15,16,25,71,3.6338028169014085
god of war origins collection - playstation 3,0,1,1,13,56,71,4.746478873239437
lightning returns: final fantasy xiii,6,10,10,12,33,71,3.788732394366197
sid meier's civilization revolution - xbox 360 (greatest hits),4,4,4,30,29,71,4.070422535211268
sonic unleashed - playstation 3,10,2,8,16,35,71,3.9014084507042255
prototype - xbox 360,8,2,18,24,19,71,3.619718309859155
wolfenstein: the new order,5,2,6,17,40,70,4.214285714285714
sly cooper: thieves in time - playstation 3,1,2,6,11,50,70,4.5285714285714285
sonic adventure 2 battle - gamecube,2,3,3,17,45,70,4.428571428571429
pure - playstation 3,0,1,12,28,29,70,4.214285714285714
nintendo new 3ds xl - black,3,1,2,7,57,70,4.628571428571429
mario party 8,2,5,10,21,32,70,4.085714285714285
dragon quest viii: journey of the cursed king,2,2,8,12,46,70,4.4
resident evil: revelations,1,1,4,17,47,70,4.542857142857143
borderlands 2 - playstation 3,1,0,5,14,50,70,4.6
catherine - ps3 [digital code],3,2,3,12,50,70,4.485714285714286
fallout: new vegas - ultimate edition,1,1,1,9,58,70,4.742857142857143
resident evil: the umbrella chronicles,5,3,16,21,25,70,3.8285714285714287
wii motionplus,2,4,11,13,39,69,4.202898550724638
burnout paradise - playstation 3,2,4,3,22,38,69,4.304347826086956
killzone mercenary,1,0,5,8,55,69,4.681159420289855
star wars: the force unleashed,1,4,12,22,30,69,4.101449275362318
street fighter iv - xbox 360,3,4,10,12,40,69,4.188405797101449
nyko dual charge base high speed docking/charging station for xbox one/xbox one s controllers with two super fast rechargeable battery packs,8,5,3,10,42,68,4.073529411764706
yoshi's woolly world -  wii u,0,0,3,10,55,68,4.764705882352941
assassin's creed iii: liberation,1,5,9,19,34,68,4.176470588235294
battlefield hardline - playstation 4,7,2,19,19,21,68,3.661764705882353
crysis 3 - playstation 3,1,2,10,16,39,68,4.323529411764706
dragon age: origins - pc,2,7,7,16,36,68,4.132352941176471
bioshock,10,2,8,16,31,67,3.8358208955223883
resident evil 5 gold edition (digital) - ps3 [digital code],4,5,1,11,46,67,4.343283582089552
mortal kombat - playstation vita,0,1,2,6,58,67,4.8059701492537314
red faction guerrilla - xbox 360,1,4,10,29,23,67,4.029850746268656
resident evil: code veronica x - playstation 2,6,3,12,15,31,67,3.925373134328358
insten 3 screen protector + cloth + compatible with sony psp,7,4,2,8,46,67,4.223880597014926
final fantasy anthology - playstation,2,1,3,9,52,67,4.611940298507463
crysis - pc,4,10,13,17,23,67,3.671641791044776
littlebigplanet - game of the year edition playstation 3,1,2,4,8,52,67,4.611940298507463
f.e.a.r. 2: project origin - playstation 3,0,0,10,23,34,67,4.358208955223881
